             1             1
             2             1
3.6             1
             4             1
5.6             1
             6            -2
             7            -3
             8            -4
             9            -5
            10             1
            11             1
            12             1
            13             1
14.2             1
            15             1
16.2             1
            17             1
            18             1
19.2             1
            20             1
21.2             1
